id,Question,optionA,optionB,optionC,optionD,correct_option,Time,Explanation
1863,India and which country will jointly issue postage stamps with Diwali as theme?,Bhutan,Indonesia,Canada,Sri Lanka,C,45,"The Union Cabinet chaired by Prime Minister Narendra Modi has recently informed that India and Canada have mutually agreed to jointly issue a set of two Commemorative Postage Stamps on the theme Diwali. The joint stamps will be released on September 21, 2017, as per MoU signed between the postal departments of the two countries. In this joint issue, the theme ""Diwali"" has been selected as it is a cultural theme for both the countries and also considering the large presence of Indian Diaspora in Canada."
1864,Who won 2017 Formulae 1 Belgian Grand Prix tournament?,Daniel Ricciardo,Sebastian Vettel,Lewis Hamilton,Max Verstappen,C,45,Mercedes' British Formula One driver Lewis Hamilton won 58th career race and got Belgian Grand Prix title. Ferrari's Sebastian Vettel won the second place.
1865,Which IIT institutes have developed biosensor to detect kidney disorders?,IIT Bombay and IIT Indore,IIT Kanpur and IIT Bombay,IIT Indore and IIT Delhi,IIT Delhi and IIT Kanpur,A,45,"The Indian Institutes of Technology, Bombay and Indore, have jointly developed a biosensor that makes it possible to detect kidney disorders in less than 8 minutes. The biosensor can accurately measure both the pH and urea concentration with a single drop of urine. The researchers who developed it say that it will help make a point-of-care test to determine whether the kidneys are functioning normally. The biosensor is made by encapsulating an enzyme urease and a molecule FITC-dextran in alginate microspheres. The combination glows in response to a chemical reaction with urea and changes in pH when urine is added."
1866,Which is the host city of the Defence Accounts Department (DAD)'s first synergy conference on Defence Pensions?,Guwahati,Pune,Kanpur,New Delhi,D,45,"The Defence Accounts Department (DAD) has organized its first Synergy Conference on Defence Pensions in New Delhi on August 28, 2017. The conference was attended by all Defence Pensioners Associations and was open to all Defence Pensioners. The purpose of the conference was to obtain feedback from the pensioners that would help the department to serve them better with constantly improving systems and procedures. Digitization of pension data and implementation of a pensions app were also discussed in detail."
1867,Who is the newly appointed chief of Bombay Stock Exchange (BSE)?,Narendra Kumar,Ashish Chauhan,Dharmendra Singh,S S Khan,B,45,"Ashish kumar Chauhan has been re-appointed as the new Managing Director and CEO of Bombay Stock Exchange (BSE) for the period of 5 years from November 2, 2017 to November 1, 2022. For this, Securities and Exchange Board of India (SEBI) has recently gave its approval to re-appoint Chauhan as MD and CEO of the company for next 5 years."
1868,The world's first IAEA Low Enriched Uranium (LEU) Bank has opened in which country?,Kazakhstan,Israel,Japan,Kyrgyzstan,A,45,"The International Atomic Energy Agency (IAEA) has launched the world's first IAEA Low Enriched Uranium (LEU) bank at the Ulba Metallurgical Plant (UMP) in Oskemen, Kazakhstan. The $150 million facility will help ensure a steady supply of low enriched uranium for countries' nuclear power programmes. The bank is owned and managed by IAEA. It is the first of its kind LEU bank not to be under control of any individual country. The IAEA LEU Bank will be a physical reserve of up to 90 metric tons of low enriched uranium suitable to make fuel for a typical light water reactor, the most widely used type of nuclear power reactor worldwide. The LEU Bank will serve as a last-resort mechanism to provide confidence to countries that they will be able to obtain LEU for the manufacture of fuel for nuclear power plants in the event of an unforeseen, non-commercial disruption to their supplies."
1869,India's first World Peace University was inagurated in _________.,Lucknow,Pune,Mumbai,Kolkata,B,45,"Envisioning education through a holistic outlook of knowledge building to establish peace and harmony in the world, the Dr Vishwanath Karad MIT World Peace University located in Pune was inaugurated by chief minister of Maharashtra Devendra Fadnavis. MIT World Peace University is an entirely new concept, a model for a moulding global citizens. There is no difference between science and spirituality."
1870,This state decided to end the process of holding interview for selection of candidates for the government jobs.,Haryana,Maharasthra,Uttar Pradesh,Manipur,C,45,"The Uttar Pradesh cabinet decided to end the process of holding interview for selection of candidates for the government jobs in all the non-gazetted posts of Group B, C and D categories."
1871,Who is announced as the Bridgestone India's Brand Ambassador?,Vinesh Phogat,Sakshi Malik,Chetan Anand,P V Sindhu,D,45,"Bridgestone India, a subsidiary of the world's largest tyre and rubber company and a Worldwide Olympic Partner, has announced a partnership with ace badminton player and Olympic silver medallist, P.V. Sindhu to be the company's first brand ambassador. Sindhu is among the world's leading professional badminton players who recently earned a silver medal at the World Badminton Championship in Glasgow."
1872,With which country India signs MoU for conservation of quake-damaged Pagodas at Bagan?,Myanmar,South America,Sri Lanka,Pakistan,A,45,The Union Cabinet approved the Memorandum of Understanding (MoU) between India and Myanmar for the conservation of earthquake-damaged pagodas at Bagan. Pagodas are the Buddhist temple typically in the form of a many-tiered tower built in traditions originating as stupa in historic South Asia.
1873,Which organization launch Indian Regional Navigation Satellite System (IRNSS-1H)?,Japan Aerospace Exploration Agency (JAXA),Russian Federal Space Agency (RFSA),National Aeronautics and Space Administration (NASA),Indian Space Research Organisation (ISRO),D,45,"The Indian Space Research Organisation (ISRO) is all set to launch PSLV-C39 carrying Indian Regional Navigation Satellite System (IRNSS-1H). The satellite will lift off from the second launch pad of the Satish Dhawan Space Centre at Sriharikota, on board the rocket PSLV C39. It is equivalent to the GPS service having a footprint over the whole of India and about 1500 kilometers from its borders on all sides."
1874,This bank receives scheduled bank status from Reserve Bank of India recently?,Equitas Small Finance Bank,Ujjivan Small Finance Bank,Janalakshmi Small Finance Bank,Suryoday Small finance bank,B,45,Ujjivan Small Finance Bank (SFB) is a wholly-owned subsidiary of Ujjivan Financial Services Limited included in the second scheduled to the RBI Act 1934 on 30th Aug 2017. This grants the 'Scheduled Bank' status to Ujjivan Small Finance Bank' from the date of notification.
1875,Who is appointed as the next High Commissioner of India to Cyprus?,Dr.V.K.Vijayan,Dr.Ramesh Kumar,Dr. Narayana Moorthy,Dr.R.K.Raghavan,D,45,"Dr. R.K. Raghavan appointed as the next High Commissioner of India to the Republic of Cyprus. Raghavan, who was CBI director from January 1999 to April 2001, had investigated high profile cases like Priyadarshini Mattoo murder case, 2000 South Africa cricket match fixing, 2002 Gujarat riots. He served as the director of Tamil Nadu Fire Service and as the director-general of the Tamil Nadu State Vigilance Directorate."
1876,Who took over as the Union Secretary of Home Affairs?,Shri Rajesh Sharma,Shri Vijay Sekhar,Shri Rajiv Gauba,Shri Ram Kumar,C,45,"Shri Rajiv Gauba, IAS (Jharkhand cadre-1982 batch) took over as Secretary to the Government of India in the Ministry of Home Affairs. Gauba had served as Secretary in the Urban Development Ministry before being appointed in the sensitive post."
1877,The 2017 Women Transforming India Awards was launched by _________.,National Institution for Transforming India (NITI Aayog),Federation of Indian Export Organisations,National Informatics Centre,Indian Coast Guard,A,45,"Women Transforming India Awards 2017 has been launched by NITI Aayog, in partnership with the UN in India and MyGov, to recognize the transformational impact of work undertaken by women across India. Union Minister of Textiles, Information, and Broadcasting Smriti Irani will present this prestigious award to a number of women winners. Laxmi Agarwal, Uttar Pradesh, Subasini Mistry, Safeena Husain, Arunima Sinha, Kamal Kumbhar, Jamuna Tudu, Rajlakshmi Borthakur, Kiran Kanoji, Harshini Kanhekar, Shima Modak, Sunita Kamble, Kanika Tekriwal are the recipients of the award"
1878,1st Week of September is considered as the __________.,Blue September,National Nutrition Week,Pollution Prevention Week,Men's Health Week,B,45,"National Nutrition Week 2017 will be celebrated from Friday(1st of September) to the Thursday(7th of September). It is celebrated each year from 1st September to the 7th September to aware the people about important tips of their health and well-being. Through the national nutrition week campaign, people from all over the world can be educated to maintain their look and feel better. The theme of the National Nutrition Week for 2017 is ""Optimal Infant & Young Child Feeding Practices: Better Child Health""."
1879,This state launched a new scheme to hedge price risks in agriculture.,Madhya Pradesh,Uttar Pradesh,Punjab,Gujarat,A,45,"The Madhya Pradesh government launched a new scheme to hedge price risks in agriculture wherein farmers will be compensated for distress sales at prices below Union government-announced minimum support prices (MSP). The scheme, named Bhavantar Bhugtan Yojana (Price Deficit Financing Scheme), will initially extend to eight crops, mostly oilseeds and pulses, where government procurement is typically low unlike rice and wheat. Under the scheme, farmers in Madhya Pradesh will be compensated when the notified crops are sold at less than the MSP, but the payout will be capped at a modal price."
1880,With this country India joint hands for elimination of trade-distorting agricultural subsidies given by developed countries.,Switzerland,Belgium,South Africa,China,D,45,"India and China, in a joint proposal to the World Trade Organization (WTO), have called for elimination of trade-distorting agricultural subsidies given by developed countries. The proposal counters the efforts of some WTO member countries that are targeting the subsidies given by the developing economies to their poor farmers while letting the developed rich nations retain their huge farm subsidies."
1881,With which of the following Ebix's ItzCash entered into a strategic agreement to offer general insurance product on its 'PHYGITAL' platform?,HDFC ERGO,Aegon,ING Group,Sun Life Financial,A,45,"India's leading Financial Exchange, Ebix's ItzCash today announced that it has entered into a strategic agreement with the country's third largest non-life insurance provider in the private sector, HDFC ERGO to offer general insurance product on its 'PHYGITAL' platform. The partnership inked will offer a wide range of general insurance policies, providing protection for a range of insurance needs including health, motor, fire and auto."
1882,Rajasthan govt accords Which status to Jats of Bharatpur and Dholpur?,OC,OBC,SC,ST,B,45,"Jats of Dholpur and Bharatpur districts have been given reservation under the Other Backward Class (OBC) category in Rajasthan on August 24,2017.The state social justice and empowerment department has issued a notificationafter approval from the cabinet. Jat community people demanded for a long time to residing in both the districts to include them in the OBC list.Jats residing in districts except for Dholpur and Bharatpur were getting benefit of the OBC quota."
1883,Name of the entity that India has offered to host a joint urban earthquake search and rescue exercise.,Hongkong Cooperation Organisation,Combodia Cooperation Organisation,Thailand Cooperation Organisation,Shanghai Cooperation Organisation,D,45,"India has offered to host a joint urban earthquake search and rescue exercise with the Shanghai Cooperation Organisation (SCO) member nations, including China and Pakistan, in 2019 to better respond to emergencies in case of natural disasters."
1884,According to Central Statistics Office which two states are the fastest expanding State economies in 2015-16?,Sikkim and Tripura,Meghalaya and Nagaland,J&K and Arunacha Pradesh,Madhya Pradesh and Meghalaya,C,45,"According to Central Statistics Office(CSO) Jammu and Kashmir and Arunachal Pradesh were the fastest expanding State economies in 2015-16. Comparison between states plays a healthy role in promoting competitive federalismthereby promoting fair competition. On the whole, the national economy expanded by 8 per cent in 2015-16."
1885,With Which of the following Karnataka government signs an agreement to implement 'Ksheera Bhagya' Scheme?,Flipkart,Amazon,Facebook,Google,B,45,"Amazon has announced a partnership with the Akshaya Patra Foundation to implement the Karnataka government's 'Ksheera Bhagya' Scheme in Bengalore. The partnership aims to reach out to 170,000 children across 1,300 government schools in the state. Under this scheme schoolchildren would be provided a glass of milk each five days a week. Children studying in classes 1 to 10 and those in anganwadis are the benefeciaries."
1886,For how many Sri Lanka students the Government of India has given scholarship to study Hindi at the Kendriya Hindi Sansthan?,12,20,15,18,B,45,"The Government of India has given scholarship for 20 Sri Lankan students to study Hindi at the Kendriya Hindi Sansthan (Central Institute of Hindi) in Agra. It has sponsored their visit, academic fees and local hospitality for one year in Agra. Students selected for this scholarship are from the University of Kelaniya, Buddhist and Pali University, University of Jayawardanepura; Indian cultural Centre, Colombo; Bharatiya Kala Kendra, Kandy and other educational and cultural institutions of Sri Lanka."
1887,WikiLeaks website was hacked by __________.,Dragonfly,Morpho,Chaos Computer Club,OurMine,D,45,"WikiLeaks' website appears to have been hacked by a group called OurMine, whose previous hacks have targeted tech CEOs, companies, and news sites."
1888,Harshil Mehta was appointed as the MD and CEO of __________.,DHFL,LIC,Coral India,Repco Home Finance,A,45,"Housing finance company DHFL elevated company's CEO Harshil Mehta as Joint Managing Director and CEO. The appointment signifies the company's endeavour to develop a proficient executive team to accelerate organisation's growth, provide greater impetus to support the 'Housing for All' mission and remain focused on serving the LMI customer segment."
1889,Who has been appointed Secretary in the Department of Financial Services (DFS)?,Shri.V Rajappan,Shri.Rajiv Kumar,Shri.Minhaj Alam,Shri.Biswanath Sinha,B,45,"Senior bureaucrat Rajiv Kumar has been appointed Secretary in the Department of Financial Services (DFS). Rajiv Kumar is a 1984 batch IAS officer of Jharkhand cadre. He is currently the Special Secretary and Establishment Officer, Ministry of Personnel."
1890,Which company Launched World's First ever Genomeceuticals Range of Products in India?,Unicity International,Hindustan Unilever Limited,Glasco Company,Dabur,A,45,"Unicity International, headquartered in Orem, Utah, United States launched world's first ever Genomeceutical (gene controlling) range of products to India. DNA contains the biological code that defines every single protein in the body. It undergoes a process called transcription or gene expression that creates a ""messenger"" molecule, telling the body to make a specific protein."
1891,"For Which state, the Central scheme for senior citizens launched?",Kerala,Goa,Tamil Nadu,Gujarat,D,45,"Union minister Thaawarchand Gehlot launched a scheme in Gujarat that provides for physical aids and assisted-living devices for senior citizens belonging to the BPL category. The centrally-sponsored scheme, `Rashtriya Vayoshri Yojana', was unveiled on April 1 this year and since then it has already been launched in Andhra Pradesh, Madhya Pradesh, and Maharashtra. These devices will help the elderly people overcome their age-related physical impairment and lead a dignified and productive life with minimal dependence on care givers or other members of the family."
1892,China's first test-flight base for civilian drones was opened in __________.,Hong Kong,Shanghai,Tianjin,Beijing,B,45,"The Civil Aviation Administration of China announced the opening of the country's first test-flight base for civilian drones in Shanghai. According to the Aircraft Owners and Pilots Association of China, there are over 120,000 registered drones in the country. China has approximately 500 drone manufacturers, controlling almost 70 per cent of market share."
1893,Who among the following was appointed election commissioner after Nasim Zaidi retired as chief election commissioner in July 2017?,Sonal Chauhan,Salil Kashyap,Sunil Arora,Suraj Patra,C,45,"AS officer and former bureaucrat, Sunil Arora, was appointed election commissioner. After Nasim Zaidi retired as chief election commissioner (CEC) in July, there was a vacancy in the Election Commission. While Achal Kumar Joti is the joint CEC, Om Prakash Rawat is the other election commissioner."
1894,The world's largest and powerful X-ray laser-Electron Laser (XFEL) was unveiled in __________.,Germany,North America,Africa,Antarctica,A,45,"The world's largest and powerful X-ray laser- European X-ray Free Electron Laser (XFEL) unveiled in Hamburg, Germany. The XEFL is series of 3.4-kilometer tunnels up to 38 meters underground near the city of Hamburg. It has the capacity to generate extremely intense laser flashes, at a rate of 27,000 per second generated by Self-Amplified Spontaneous Emission (SASE)."
1895,Which city gets India's first World Heritage City certificate?,Jaipur,Ahmedabad,Chennai,Hyderabad,B,45,"Ahmedabad in Gujarat was formally accorded the status of India's first World Heritage City with UNESCO Director General Irina Bokova handing over the certificate in this regard to Chief Minister Vijay Rupani. The honour makes the walled city of Ahmedabad the first city in India, and the third in Asia. India now has a total of 36 World Heritage Inscriptions -- 28 cultural, 7 natural and 1 mixed site."
1896,World's highest sandcastle built in the German city of ____________.,Hamburg,Berlin,Duisburg,Bremen,C,45,"The world's highest sandcastle is now standing 16.68 meters tall in the German city of Duisburg. A German travel operator organized the construction of the mammoth sandcastle, bringing in 3,500 tons of sand over the past three and a half weeks to the site at a former steelworks in the inland city. The new sandcastle is decorated with sand models of tourist attractions such as Athens' Acropolis, Barcelona's Sagrada Familia and the Leaning Tower of Pisa."
1897,Which indian originated person appointed as Singapore's acting president?,Shri Narayana Swamy,Shri Suresh Kumar,Shri Rajesh Kumar,Shri J Y Pillay,D,45,"Indian-origin veteran civil servant JY Pillay appointed Singapore's acting President. Pillay, chairman of the Council of Presidential Advisers (CPA), will act as the President until after polling day on Septemeber 23 -- or after nomination day on September 13, if a candidate is elected unopposed."
1898,This group launched Ryzen Pro processors for Business Personal Computer.,AMD,Amazon,Testla,Google,A,45,"Chipmaker AMD presented a new line of microprocessor chips called 'Ryzen Pro' for commercial desktop workstations to be available in India and other countries by end of 2017. At the global launch of Ryzen Pro leading PC makers HP, Dell and Lenovo introduced new high-end workstations using Ryzen Pro to meet the demand of present scenario toughest computing-tasks. The Ryzen Pro desktop processor is an 8 core and 16 thread CPU and much faster than the rival Intel's 'Core i7' which is of 4 core and 8 thread."
1899,Which ministry got the approval of constitution of Empowered Steering Committee?,Ministry of External Affairs,Ministry of Youth Affairs and Sports,Ministry of telecommunication,Ministry of Ayush Medicine,B,45,"The Ministry of Youth Affairs and Sports approved Constitution of 13-member Empowered Steering Committee (ESC). It will shape and influence India's preparation for multi-disciplinary events, including 2020 Tokyo Olympic Games. It will have chairperson appointed by the Government. It will have the mandate to work until December 31, 2020, with clearly defined terms and reference."
1900,"Which of the following taxi service will give free insurance to its driver partners in India that will cover death, disability or hospitalisation due to accidents?",Ola,Uber,Carzonrent,Savaari,B,45,"Global ride-hailing firm Uber will give free insurance to its 450,000 driver partners in India that will cover death, disability or hospitalization due to accidents."
1901,How many lakh Wi Fi hotspots will be setup across the country by state-run telecom operator BSNL?,One,Two,Three,Four,A,45,"The state-run Bharat Sanchar Nigam Limited (BSNL) on Friday signed an agreement with the Universal Service Obligation Fund (USOF) to set up 25,000 Wi-Fi hotspots in its rural exchanges by next six months. The setting up of 25,000 Wi-Fi hotspots shall be funded from the USO Fund, with the government providing full capital expenditure and operational expenditure (OPEX) support to the tune of Rs 940 crore for the project."
1902,With Whom SAAB Ties up to Build Gripen E fighter jets in India?,Ashok Leyland Group,Reliance Group,Adani Group,Birla group,C,45,Swedish defence major SAAB to tie-up with Adani Group to manufacture the Gripen E fighter jets in India under the Defence Ministry's $10 billion single-engine fighter jet procurement programme. The announcement comes within months of US' Lockheed Martin announcing its joint venture with Tata Advanced Systems for producing the latest version of F-16 in India.
1903,India andthis country have recently signed pacts for technical cooperation in the field of Railways?,Bhutam,Nepal,Malaysia,Switzerland,D,45,"India and Switzerland have signed two pacts for technical cooperation in the field of Railways after delegation level talks between Prime Minister Narendra Modi and visiting President of Swiss Confederation Doris Leuthard in New Delhi. The aim of pacts is to cooperate in the areas of traction rolling stock, EMU and Train sets, traction propulsion equipments, freight and passenger cars, etc. To boost bilateral ties, Swiss president, Doris Leuthard is on a 3-day visit to India. The visit is significant as Switzerland is the chair of the Nuclear Suppliers Group (NSG) where India has been seeking membership."
1904,Which city is hosting the annual conference Rajaswa Gyan Sangam (RGS - 2017)?,Jaipur,Kochi,New Delhi,Pune,C,45,"Prime Minister Narendra Modi has inaugurated the annual conference - Rajaswa Gyan Sangam (RGS-2017) in New Delhi on September 1, 2017. The conference is jointly organised by Central Board of Direct Taxes (CBDT) and the Central Board of Excise and Customs (CBEC). The objective of the Conference is to enable a two-way communication between the policy-makers and the senior officers in the field offices with a view to increase revenue collection and facilitate effective implementation of law and policies in key result areas. Apart from the joint sessions, separate technical sessions of each Board will be held during the two-day Conference. Issues arising in implementation of policies and strategies to achieve targets in core functional areas will also be discussed. Crucial issues like Tax Evasion, GST, Customs Reforms and Modernisation will also come up for discussion."
1905,The new Secretary in the Department of Financial Services (DFS) is?,Ali Raza Rizvi,Rajiv Kumar,Rajesh Chaturvedi,N Baijendra Kumar,B,45,"Rajiv Kumar, a 1984 batch IAS officer of Jharkhand cadre, has been appointed as the new Secretary in the Department of Financial Services (DFS). He succeeded Anjuly Chib Duggal, who superannuated. At present, Kumar is Special Secretary and Establishment Officer in the Ministry of Personnel. The DFS looks after the functioning of banks, financial institutions, insurance companies and the national pension system. Rajiv Kumar has spearheaded several reforms in Indian bureaucracy including an online system for recording of the bureaucrats annual performance appraisal reports."
1906,Which country is hosting the 2017 International Hindu Conference (IHC)?,Nepal,India,Sri Lanka,Bhutan,A,45,"The 3-day International Hindu Conference has started in Kathmandu, Nepal with the theme of 'Emerging spiritualism: Renaissance of Hinduism' on August 31, 2017. The aim of the conference is to make Kathmandu the global capital of Hinduism. Approx 500 Hindu scholars, religious leaders, Hindu activists and officials from different countries including India, Bangladesh, Pakistan, the US and the UK are are taking part in the conference. The conference will discuss papers on various contemporary issues including, scientific basis of Hinduism, climate change and global warming."
1907,Name of the state which has launched an online Public Grievance Redressal System (PGRS) is?,Assam,Punjab,Haryana,Goa,D,45,"Goa chief minister Manohar Parrrikar has launched an online Public Grievance Redressal System at the state secretariat on September 1, 2017. It is a single window online portal for citizens to register grievances towards any state government department. The system's performance in terms of glitches would be monitored and addressed gradually. In the future, a call centre facility would be added to the system. Under the online Public Grievance Redressal System, citizens will be notified about the status of their complaint through SMS and email based on a unique grievance id. There is a provision for automatically escalating unaddressed grievances to higher authorities periodically."
1908,The 9th edition of BRICS summit-2017 will be held in __________.,Tianjin,Chongqing,Xiamen,Beijing,C,45,"The 9th edition of BRICS summit-2017 has started at Xiamen in the Fujian Province of east China on September 3, 2017 with theme ""BRICS: Stronger Partnership for a Brighter Future"". For this, Prime Minister Narendra Modi has embarked on a two nation tour of China and Myanmar. On the first leg of his visit, Mr. Modi will attend the 2017 BRICS Summit. In the 3-day summit, at least four documents, BRICS Action Agenda on Economic and Trade Development, BRICS Action Agenda on the Innovation Cooperation, BRICS Customs Cooperation and an MoU between BRICS Business Council and New Development Bank are expected to be signed. On the second leg of the visit, Prime Minister Modi will pay a State visit to Myanmar from September 5th to 7th. This will be Prime Minister Modi's first bilateral State visit to Myanmar."
1909,Which state government will provide free education to girls up to graduation?,Tamil Nadu,Odisha,Assam,Karnataka,D,45,"The Karnataka government has recently decided to provide free education for girls across the state from Class 1 up to graduation in all public and aided private schools and colleges, excluding professional institutions. The scheme will be able to avail free education without paying a penny from the next academic year. According to officials, the government would reimburse all fees except examination fees of girl students of Class 1 to graduation level, irrespective of their family's annual income. The students will have to pay the fees first and the same would be reimbursed by the government. The entire tuition fee will be reimbursed, according to the minister. The purpose of the scheme is to help underprivileged and lower middle-class sections of the state. Currently, the girls are given free education in government schools and colleges up to undergraduate level in the state. Karnataka is not the only state in India to start this grand scheme."
1910,Who is appointed as the Railway Mininster of India recently?,Piyush goyal,Mukhtar Abbas Naqvi,Dharmendra Pradhan,Nirmala Sitharaman,A,45,"Piyush Goyal has been appointed as the new Union Minister of Railways. He succeeded Suresh Prabhu, who has become the new Union Minister of Commerce and Industry. Prabhu resigned from the post after a series of train accidents in August 2017. Apart from Railways, Piyush Goyal retains the Ministry of coal. Along with Goyal, Dharmendra Pradhan, Nirmala Sitharaman and Mukhtar Abbas Naqvi were promoted to the cabinet rank."
1911,"Which ministry launched an online environmental quiz competition named ""Prakriti Khoj"" an Environment Quiz to be conducted at the national level?",Ministry of Civil Aviation,Ministry of Statistics,Ministry of Environment,Ministry of Agriculture and Farmers Welfare,C,45,"Environment Ministry will launch an environment awareness initiative. Under which an online environmental quiz competition named ""Prakriti Khoj"" an Environment Quiz to be conducted at the national level. It aims to motivate them towards effective participation in other major programmes related to conservation and protection of the Ministry. It will provide a unique platform for students to measure their awareness level regarding environmental issues. A separate webportal - www.ngc.nic.in containing information on the quiz has been developed by Ministry."
1912,Which of the following has banned its women from wearing veils?,Afghanistan,Kyrgyzstan,Uzbekistan,Tajikistan,D,45,"The Tajikistan government has banned its women from wearing veils and Tajikistan government has introduced a legislation, wherein it has asked the women to ""stick to traditional national clothes and culture"". Under existing laws, women wearing hijabs are already banned from entering the country's government offices."
1913,How many banks of the BRICS Bank Cooperation Mechanism have agreed to establish credit lines in the national currencies and cooperate on credit ratings?,4,5,3,2,B,45,"Five banks of the BRICS Bank Cooperation Mechanism have agreed to establish credit lines in the national currencies and cooperate on credit ratings. The agreement was signed ahead of the Brics (Brazil, Russia, India, China and South Africa) summit in China's Xiamen city on September 3rd in which leaders of the five countries, including Prime Minister Narendra Modi. Brazilian Development Bank (BNDES), Vnesheconombank, Export-Import Bank of India, China Development Bank and Development Bank of South Africa (DBSA) have signed an agreement to establish credit lines in the national currencies, as well as a memorandum of cooperation on credit ratings."
1914,Which Indian state have discovered an ancient Buddhist site recently?,Andhra Pradesh,Karnataka,Assam,Rajasthan,A,45,"Archaeologists in Andhra Pradesh have discovered an ancient Buddhist site that dates back to 1st century AD, in Guntur district, in Putlagudem village of Achampet mandal. Dr E Sivanagi Reddy, CEO of Culture Centre of Vijayawada and Amaravati (CCVA) found the site. The site had six limestone pillars with half lotus medallions and depicted animals and patterns. He informed that these structures dates back to satavahana rule."
1915,Which company has introduced a new vision processing unit (VPU) called Movidius Myriad X?,Dell,HTC,Intel,Lenovo,C,45,"Intel has introduced a new vision processing unit (VPU) called Movidius Myriad X. The new Intel VPU is aimed at providing end-to-end artificial intelligence (AI) solutions to a wide range of product categories such as smart cameras, virtual reality (VR) devices, robotics and even drones. Myriad X is the world's first system-on-chip (SOC) shipping with a dedicated neural compute engine for accelerating deep learning inferences at the edge."
1916,Who become the first wicketkeeper to effect 100 stumpings in ODI cricket?,Mark Boucher,Adam Gilchrist,MS Dhoni,Rod Marsh,C,45,"MS Dhoni reached a record of 100 stumpings in One-Day Internationals during his 301st match, as India played Sri Lanka in the fifth ODI of the five-match series at Colombo. He became the sixth Indian player to play 300 matches in the 50-over format. Dhoni has also played 90 Tests and 77 T20 Internationals. In 90 Tests, Dhoni has taken 256 catches and effected 38 stumpings while his T20 Internationals' catches/stumping record stands at 43/23."
1917,How many e-rickshaws have launched in Gurugram recently?,1000,750,500,680,A,45,"The Delhi Metro Rail Corporation (DMRC) in collaboration with Smart-E company will launch 1,000 e-rickshaws at five metro stations across the city. Smart-E is uniquely poised to address the last-mile connectivity challenge faced by millions of people every day. The launch of 1,000 e-rickshaws in exclusive partnership with DMRC is an important step towards making last-mile commute easy, safe, affordable and eco-friendly for the citizens."
1918,Who become India's first women Defence Minister?,Smriti Irani,Nirmala Sitharaman,Harsimrat Kaur Badal,Dr. Najma A. Heptulla,B,45,Nirmala Sitharaman was named the first independent woman Defence Minister of India. The post of the defence minister fell vacant after Manohar Parrikar joined Goa state politics to become the chief minister of the state.
1919,Rajyavardhan Singh Rathore has appointed as the minister of ___________.,Union Minister of Drinking Water and Sanitation.,Union Minister of Commerce and Industry.,Union Minister of Youth Affairs and Sports,Union Minister of Road Transport,C,45,Rajyavardhan Singh Rathore has appointed as the country's Youth Affairs and Sports Minister. He has succeeded Vijay Goyal as the Sports Minister and is the first sportsperson to become the head of the Sports Ministry. He is the first Indian shooter to win an Olympic medal after his silver at the 2004 Athens Games.
1920,Who will lay foundation stone for Link-4 of SAUNI Scheme in Rajkot?,Shri Narendra Modi,Shri Suresh Prabhu,Shri Rajesh Sharma,Shri Ram Nath Kovind,D,45,President Ramnath Kovind will lay the foundation stone for the link - 4 of Saurashtra Narmada Avataran Irrigation Scheme -SAUNI- Yojana in Rajkot district. The project launched by Prime Minister Narendra Modi during his tenure as Chief Minister of Gujarat aims to fill up 115 major dams by diverting overflow of water from the Sardar Sarovar Dam on Narmada River.
1921,Which state introduce the electric buses for two cities recently?,Jammu &amp; Kashmir,Madhya Pradesh,Rajasthan,Uttarakhand,A,45,The Jammu and Kashmir Government introduces the electric buses for two cities of Srinagar and Jammu under the Atal Mission for Rejuvenation and Urban Transformation (AMRUT) scheme. It is done with an aim to curb pollution in these two cities which were recently declared 'smart cities'.
1922,What is the name of the astronaut who returns to Earth after spending a record breaking 288 days in outer space?,Eric Boe,Charles bolden,Jim Lovell,Peggy Whitson,D,45,National Aeronautics and Space Administration (NASA) astronaut Peggy Whitson finishing a 288-day mission that put her over the top as the American who has spent the most cumulative amount of time in space. The oldest female astronaut in the history of space exploration was the first female International Space Station commander and holds the record for number of spacewalks by a woman.
1923,Which Airport Bags Energy Efficiency Award recently?,Chennai International Airport,Hyderabad International Airport,Mumbai International Airport,Kolkata International Airport,B,45,"Hyderabad International Airport Limited bagged the National Award for 'Excellence' in Energy Management at a conference hosted by the Confederation of Indian Industry (CII). GMR Hyderabad International Airport Limited (GHIAL) is a company promoted as a joint venture comprising the GMR Group (63%) in partnership with Government of India (13%), Government of Telangana (13%) and Malaysia Airports Holdings Berhad (11%). It focused on recognizing companies that are engaged in energy efficiency initiatives and displaying commitment towards energy conservation."
1924,Which country has signed UN assistance package for a USD 635 million for 2018-2022?,Japan,China,Nepal,Iraq,C,45,"Nepal has signed UN assistance package for a USD 635 million for 2018-2022. The UNDAF lays out the development strategy for the UN Country Team for the next five years. The package will involve 26 individual UN agencies, spans interventions and it also aimed at assisting in four broad areas:"
1925,This bank has bagged the 'best bank' award among small banks for the use of technology for financial inclusion.,City Union Bank,Bank of Baroda,Kotak Mahindra Bank,Karnataka Bank,D,45,"Karnataka Bank has bagged the 'best bank' award among small banks for the use of technology for financial inclusion announced on 3rd Sept 21017. Mahabaleshwara MS, MD & CEO of the bank had received the award from Sudarshan Sen, Executive Director of RBI, in Hyderabad and said this recognition will further motivate the bank in implementing its IT strategies more effectively in promoting financial inclusion."
