ID,Question,Option A,Option B,Option C,Option D,Correct Option,Timer,explaination
3214,"Enzymes, which play an important role in calcification, are:",Enolase and Calcitonin,Alkaline phosphatase and catalase,Alkaline phosphatase and pyrophosphatase,Pyrophosphatase and carbonic anhydrase,C,45,No explanation given
3215,What does forward scatter in flow cytometry used to assess?,Cell death,Cell size,Cell granules,Cell fluorescence,B,45,"Ans: B. Cell sizeFlow cytometry:Technique for counting, examining & soing microscopic paicles suspended in a stream of fluid.Allows simultaneous multi-parametric analysis of physical and/or chemical characteristics of single cells flowing through an optical and/or electronic detection apparatus.Measures optical & fluorescence characteristics of single cells.Direction of light & interpretation:Direction of light scattered in forward Scatter (FS):For cell size.Liver cells will have more forward scatter (FS) than dead and apoptotic cellsDirection of light scattered in side scatter (SS):For density of cells (granularity, vacuoles & membrane size).Granulocytes/monocytes have more granularity or vacuoles a more side scattering (SS).(Ref Hematology: Clinical Principles and Applications/p456)."
3216,Which inflammatory mediator involve in intracellular killing of microbes?,Catalase,Oxidase,Lysozyme,IL6,C,45,"The killing of microbes and the destruction of ingested materials are accomplished by reactive oxygen species (ROS, also called reactive oxygen intermediates), reactive nitrogen species, mainly derived from nitric oxide (NO), and lysosomal enzymes.
Neutrophils and monocytes contain granules packed with enzymes and anti-microbial proteins that degrade microbes and dead tissues and may contribute to tissue damage. These granules are actively secretory and thus distinct from classical lysosomes. 
Neutrophils have two main types of granules:

The smaller specific (or secondary) granules contain lysozyme, collagenase, gelatinase, lactoferrin, plasminogen activator, histaminase, and alkaline phosphatase. 
The larger azurophil (or primary) granules contain MPO, bactericidal factors (such as defensins), acid hydrolases, and a variety of neutral proteases (elastase, cathepsin G, nonspecific collagenases, proteinase 3).

Kumar V, Abbas AK, Aster JC. Robbins basic pathology. Elsevier Health Sciences; 2017. Page 68"
3217,"The most effective, scientifically proven and cost efficient caries prevention program in children is:",Enameloplasty,Oral health education,Pit and fissure sealants,ART,C,45,No explanation given
3218,A 24 years old college student while playing hockey injured his right knee. This patient presents after 3 months with instability of knee joint in it full extension without instability at 90 degree of flexion. The structure most commonly damaged is:,Posterolatilal pa of anterior cruciate ligament,Anteromedial pa of anterior cruciate ligament,Posterior cruciate ligament,Anterior hom of medial meniscus,A,45,Ans. a. Posterolateral pa of anterior cruciate ligament
3219,Drug of choice for scrub typhus is:,Azithromycin,Ciprofloxacin,Doxycycline,Chloramphenicol,C,45,"Scrub typhus is caused by rickettsia. DOC for rickettsia is Doxycycline(tetracycline). It is the DOC for all kind of typhus like endemic typhus, epidemic typhus, and other rickettsial infections like Q fever, rocky mountain spotted fever. Azithromycin is a macrolide and a protein synthesis inhibitor. Ciprofloxacin is a fluoroquinolone. Chloramphenicol is also a protein synthesis inhibitor."
3220,VLDL is concerned with:,Delivery of endogenous FA to extrahepatic tissue,Delivery of exogenous FA to extrahepatic tissue,Delivery of cholesterol to extrahepatic tissue,All of the above,A,45,"VLDL metabolism:

Delivery of endogenous FA to the extra-hepatic tissue.
VLDL converted to LDL and delivers cholesterol to tissue.
VLDL is formed in liver."
3221,Malignant pustule is referred to:,Facio-cervical actinomycosis,Cutaneous anthrax,Infected squamous cell carcinoma,None of the above,B,45,No explanation given
3222,"A 56yr old underwent transsphenoidal hypophysectomy for pituitary tumour. Now he has low ACTH, TSH, FSH, LH. Which of the hormone will not be given to the patient?",Glucocoicoids,Mineralocoicoids,Levothyroxine,Estradiol,B,45,"Answer- B. MineralocoicoidsThis patient does not need supplementation with mineralocoicoids.It is due to the fact that post-hypophysectomy, the basal levels of mineralocoicoids (principally aldosterone) remain normal as the renin-angiotensin-aldosterone feedback loop remains intact."
3223,Cobalt-Chromium alloys contains:,30% cobalt and 60% chromium,60% cobalt and 30% chromium,1% palladium,20% gold,B,45,No explanation given
3224,Surveyor is used on master cast to:,Locate guiding planes,Determine aesthetics,Delineate areas of maximum convexity,Locate undercuts to be used for retention or to be blocked out,D,45,No explanation given
3225,COPRA came into action on:,15th April 1987,15th April 1989,25th April 1988,15th April 1986,A,45,"CONSUMER PROTECTION ACT
(CPA/COPRA) 
The Consumer Protection Act, 1986 that came into force on 15th April, 1987 is a milestone in the history of socio-economic legislation in the country. It is one of the most progressive and comprehensive pieces of legislation enacted.
Essentials of preventive and community dentistry
Soben Peter
5th edition"
3226,Cyst of parasite seen in stool microscopy. What is the organism?,Entamoeba dyspar,Balantidium coli,Giardia lambia,Taenia solium,C,45,The given cyst have axostyle and 4 nuclei are present - features of Giardia lamblia. Trophohozoites of Giardia lamblia have 4 pairs of flagella and have falling leaf like motility. Balantidium coli- cyst are binucleated Entamoeba dyspar- quadrinucleated cyst no axostyle Taenia solium-no cyst eggs are seen in faeces
3227,Active form of vitamin D in kidney is:,1 dihydroxy cholecalciferol,25 hydroxy cholecalciferol,"1, 25 dihydroxy cholecalciferol",7 dihydroxy calciferol,C,45,No explanation given
3228,Enamel lamellae,Elevation on outer surface of enamel,Dentinal tubule in enamel,Uniform arrangement of enamel rods,Enamel projection in dentin,D,45,No explanation given
3229,"The drug for choice for treatment of infection
involving	non-penicillinase	producing
staphylococcus is:",Ampicillin,Erythromycin,Penicillin G,Methicillin sodium,C,45,No explanation given
3230,"Before pouring an elastic impression, it is washed with slurry of water and stone to:",Increase gel strength,Prevent syneresis,Prevent distortion,Wash off saliva on impression,D,45,No explanation given
3231,Cleaning of files in between of endodontic treatment is done by:,Gauze soaked in hypochlorite solution,15 seconds in glass bead sterilizer,30 seconds in glass bead sterilizer,Chlorhexidine,A,45,No explanation given
3232,"A 10 year old child presented with headache, vomiting, gait instability and diplopia. On examination he had papilledema and gait ataxia. The most probable diagnosis is –",Hydrocephalus,Brain stem tumour,Suprasellar tumour,Midline posterior fossa tumour,D,45,"""The classical triad of headache, nausea and vomiting, and papilledenaa is associated with midline or infratentorial tumors"".
 
Sign and symptoms of Brain tumors in children

Children with brain tumors frequently have symptoms and signs that strongly suggest the appropriate diagnosis.
The clinical triad of symptoms associated with increased ICT -4 headache, vomiting, blurred vision / diplopia, is the hallmark of brain tumors in childhood.
These symptoms occur more frequently with mid-line posterior fossa (infratentorial) tumors owing to the propensity of lesions close to the ventricular CSF flow system.
Symptoms of the brain tumors vary depending upon which part of the brain the tumor is found :­

Brain tumor in cerebrum (supratentorial)

Seizures                                 o Hemiperes is or Hemiplegia          o Drowsiness / confusion
Visual changes                     o T ICT (less common)                        o Personality changes

Brain tumor in brain stem

Seizures                                 o Diplopia             o Respiratory changes o T ICT (Rare)
Endocrine problem (DM) o Headache            o Cranial N. palsy

Brain tumor in cerebellum

T ECT (most common)     o Headache          o Uncoordinated movement
Vomiting                               o Ataxia

Symptoms due to raised ICT --> These are mainly caused by midline posterior fossa tumor --> Medulloblastoma.

Headache                                                    o Nausea                                                  o Drowsiness
Vomiting (usually in the morning)         o Personality changes                         o Papilledema
Diplopia / blurred vision                           o Irritability

Note - Brain-stem tumors are also posterior fossa tumors, but they do not present with increased ICT."
3233,What should be the time of termination of pregnancy of a female with insulin dependent diabetes?,40 weeks,38 weeks,37 weeks,34 weeks,A,45,"Ans. a. 40 weeksIn diabetic mothers, the fetal lung maturation delays due to delay in the completion of surfactant formation in fetal lung. Hence 40 weeks is the choice, the expected delivery can be delayed up to 40 weeks."
3234,"Following a A, a young man was brought to ER. Due to massive blood loss, 2 units of PRBC and 4 platelets obtained from blood bank. Only one IV line was accessible. What will you do?",Sta PRBC 1st mid store platelet in room temperature,Sta platelet and store PRBC in room temperature,Only transfuse PRBC,Transfuse PRBC and store platelet at 2-6 degrees,A,45,"Ans: A. Sta PRBC 1st and store platelet in room temperatureRefi ATLS 18th edn; 2018, Chapter 3 ShockFirst preference is PRBC followed by plateletsIn mean time, store platelets at room temperature."
3235,Amount of heat that is required to change boiling water into vapor is referred to as,Latent Heat of vaporization,Latent Heat of sublimation,Latent Heat of condensation,Latent heat of fusion,A,45,No explanation given
3236,"A continuum to sedation, anxiolysis is referred to:",Conscious sedation,Deep sedation,Minimal sedation,General anaesthesia,C,45,No explanation given
3237,"Peg-shaped incisors which taper towards the indsal edge
are typically seen in all of the following conditions EXCEPT",Congenital syphilis,Rickets,Anhyirotic ectodermal dysplasia,Supernumerary teeth,B,45,No explanation given
3238,Pick out odd drugs for anaesthetic emergencies are:,AminophylLine,Epinephrine,Atropine sulphate,Amoxycillin,D,45,No explanation given
3239,A study was done where the sale of anti-asthma drug was recorded and the number of deaths because of asthma was measured over a period of 15 years (1975-1990). This is which type of study.,Ecological,Case reference,Experimental,Psephology,A,45,No explanation given
3240,The fear of a 6 year old related to dentistry is primarily:,Subjective,Objective,Subjective & objective,Psychological,A,45,No explanation given
3241,The sulcular epithelium acts as a semi permeable membrane through which,Bacterial products pass in to the gingiva,Fluids from the gingiva seeps in to the sulcus,Both of the above,None of the above,C,45,No explanation given
3242,A patient inhales a tidal volume of 500 mL. The intrapleural pressure was measured as - 4 cm of water before inspiration and - 9 cm of water after inspiration. Calculate the pulmonary compliance in this patient:,0.1 L/cm,0.3 L/cm,0.2 L/cm,0.4 L cm,A,45,Answer- A. 0.1 L/cmThe pulmonary compliance in this patient is 0.1 L/cm H2O.Measure of the lung's ability to stretch & expand (distensibility of elastic tissue).Pulmonary surfactant increases compliance by decreasing the surface tension of water.Pulmonary compliance = DV/ DB
3243,Maximum steroid produced by fetal adrenal:-,DHEA-S,Coisol,Coicosterone,Progesterone,B,45,- steroid hormones are synthesized in adrenal coex. - coisol is major steroid predominantly synthesized by fetal adrenal gland.
3244,Semi colon shaped C shaped canal is classified as (according to Melton and Seitzor),Type 1,Type 2,Type 3,Type 4,B,45,No explanation given
3245,Which nerve biopsy is taken to diagnose neuritic leprosy?,Median nerve,Radial cutaneous nerve,Ulnar nerve,Radial nerve,B,45,"Neuritic leprosy - only nerve involved no skin involvement. - Slit Skin smear(SSS) - negative - Nerve thickening - confirms diagnosis. A purely sensory thickened peripheral nerve should be sampled as there are chances of nerve damage during biopsy If its a motor nerve--> deformity . Therefore, option median & ulnar are ruled out. So Radial cutaneous branch is used for sampling during nerve biopsy."
3246,Low grade infection which leads to localized periosteal reaction is:,Garre's osteomyelitis,Acute osteomyelitis,Condensing csteitis,Local alveolar osteitis,A,45,No explanation given
3247,72-y ear-olo gentleman with normal renal functions presents with new onset focal seizures. Which of the following is the best drug to manage the patient?,Sodium valproate,Oxcarbazepine,Leviteracetam,Pregabalin,B,45,"Answer: b. Oxcarbazepine (Ref: Harrison 194, p2552. 18/e pc 1)3262)Among the options provided, oxcarbazepine is the best drug to manage this old patient with normal renal functions presents with new onset focal seizures"
3248,"Injury to which of the following deep pa of perinea! body causes cystocele, enterocele and urethral descent?",Pubococcygeus,Ischiocavernosus,Bulbospongiosus,Sphincter of urethra and anus,A,45,"Ans. a. Pubococcygeus When the pubococcygeus muscle contracts, it pulls the rectum, vagina, and urethra anteriorly toward the pubic bone and constricts the lumens of these pelvic organs. It is this contractile propey that is so impoant in maintaining urinary and fecal continence and in providing suppo for the genital organs (vagina, cervix, uterus) that lie upon and are suppoed by the levator plate. Injury to pubococcygeus can lead to rectocele, cystocele and urinary incontinence."
3249,Which of the following is not a post transcriptional modification of RNA?,Splicing,5' capping,3' polyadenylation,Glycosylation,D,45,No explanation given
3250,Largest Faciolingual dimension is seen in,Lower 1st molar,Upper 1st molar,Lower 2nd molar,Upper 2nd molar,B,45,No explanation given
3251,Children with germline retinoblastoma are more likely to develop other primary malignancies in their later lifetime course. Which of the following malignancy can occur in such patients?,Osteosarcoma of lower limbs,Thyroid carcinoma,Seminoma,Renal cell carcinoma,A,45,Answer- A. Osteosarcoma of lower limbsChildren with germline retinoblastoma are more likely to develop other primary malignancies in their later lifetime course.Osteosarcoma of lower limbs can occur in such patients.Retinoblastoma Syndrome (Primary site malignancy)- Familial Retinoblastoma
3252,Which of the following drug is commonly used for community acquired pneumonia in OPD?,Vancomycin,Ceftriaxone,Azithromycin,Streptomycin,C,45,Ans: C. AzithromycinRef: n e u m o n ia- i n- a d u I t s -in -t h e - o u tp atie n t - s e tt in g H 4Only one drug which is active orally i.e. Azithromycin.We require OPD based treatment; hence Azithromycin is the best answer here.
3253,Not a side effect of Escitalopram?,Nausea,Vivid dreams,Anorgasmia,Sialorrhoea,D,45,Side effects of Escitalopram GI side effects: MC Vivid Dreams Sexual dysfunction on long term intake Sialorrhea is a side effect of clozapine
3254,Death due to smoke inhalation is due to:,Hypoxemia,Anemic hypoxia,Ischemic hypoxia,All of the above,B,45,"Ans. b. Anemic hypoxiaIn smoke/fire patient generally dies of excess CO poisoning (most frequent cause of death).If there is low PaO, - it is called as hypoxic hypoxia.In smoke (CO poisoning) PaO, will be normal and the problem is COHb.An abnormal Hb or Reduced Hb concentration comes under anemic hypoxia."
3255,"Child has received full rabies vaccination in December 2018 and now presented with oozing wound on great toe and the pet had vaccination also, what would you do now?",No vaccine,2 doses of vaccine on day 0 and 3,Full 5 doses of vaccines,Rabies Ig and full vaccination,B,45,Answer B. 2 doses of vaccine on day 0 and 3Two doses of vaccine on Day 0 & 3 should be administered to this boy.This case is classified under WHO category III since the bleeding was present at the site of dog-bite(toe). This kid should receive PEP without any delay as his immunization was done more than 3 months ago.
3256,Oral infection by penicillinase producing organisms should be treated with:,Ampicillin,Dicloxacillin,Erythromycin,Any of the above,B,45,No explanation given
3257,"Babu, a 49-year-old patient, complains of foul breath and regurgitation of food eaten few days back. He also complains of dysphagia. The probable diagnosis is:",Gastrophoresis,Achalasia,Diabetes,Pharyngeal pouch,D,45,No explanation given
3258,False statement about Thyroglossal Duct cyst is-,Infected thyroglossal cyst from sinus,Lined by pseudostratified columnar epithelium,40% cases have sub hyoid location,It is due to congenital,A,45,"Answer- A. Infected thyroglossal cyst from sinusThyroglossal cysts are the most common cause of midline neck masses and are generally located caudal to (below) the hyoid bone.Thyroglossal Duct Cysts are a bih defect.A thyroglossal cyst is lined by pseudostratified, ciliated columnar epithelium while a thyroglossal fistula is lined by columnar epithelium.A thyroglossal duct cyst may rupture unexpectedly, resulting in a draining sinus known as a thyroglossal fistula."
3259,A 2 year old premature neonate develops GTCS. What is the best investigation done to diagnose the pathology?,Transcranial ultrasound,CT Head,MRI brain,X-ray,A,45,"Answer- A. Transcranial ultrasound Diagnostic Procedures:Polygraphic video-EEG recording ofsuspected events is probably mandatory for an incontroveible seizure diagnosis.It is performed at the bedside and provides effective assessment of ventricular size and other fluid-containing lesions as well as effective viewing of haemorrhagic and ischaemic lesions and their evolution.CT brain scan is often of secondary or adjunctive impoance to ultrasound. Last-generation CT brain scan imagesare of high resolution, can be generated within seconds and can accurately detect haemorrhage, infarction, grossmalformations and ventricular and other pathological conditions.MRI is much superior for abnormalities of coical development used for the detection of structural abnormalitiessuch as malformations of coical development, intracranial haemorrhage, hydrocephalus and cerebral infarction."
3260,Binder in investment for dental castings:,Brings about reduction in expansion,"Provides adequate strength to the investment, holds ingredients together and provides rigidity",Is usually a form of silica,Can be safely heated above 700°C when present in the form of gypsum,B,45,No explanation given
3261,Vasodilatation is caused by:,Serotonin,Histamine,LT C4,Thromboxane A2,B,45,"Ans. B. Histamine* Histamine causes marked dilatation of smaller blood vessels that include aerioles, capillaries, and venules."
3262,A 56 years old patient came to casualty with history of massive hemoptysis. His routine investigations and chest X-ray was normal. Which of the following is not done to prevent hemoptysis?,Bronchial aery embolization,Pulmonary aery embolization,Bronchoscopic laser cauterization,Lobectomy of the affected segment,D,45,"Answer- D. Lobectomy of the affected segmentAll of the given options are used for control of hemoptysis in the following order: Bronchoscopic laser cauterization +Bronchial aery embolization + Pulmonary aery embolization + Lobectomy of the affected segment.""Large-volume hemoptysis, referred to as massive hemoptysis, is variobly defined as hemoptysis of >200-600 mL in 24h. Massive hemoptysis should be considered a medical emergency."
3263,"While doing emergency laparotomy for an intestinal obstruction, which organ will you first visualize to say whether it is small bowel or large bowel obstruction?",Ileum,Sigmoid colon,Cecum,Rectum,C,45,"Ans: C. CecumCecum is always the first structure which should be seen in bowel obstruction. If it is dilated, then it suggests large bowel obstruction, where as if it is collapsed, then it is signifying small bowel obstruction."
3264,"For deep gingival sheath preparation, shape of wedge should be:",Round,Triangular,Square,All of the above,B,45,"Wedges are devices which are usually preferred for rapid tooth separation. These are used for tooth preparation and restoration.
Triangular wedge:

Most commonly used.
It has two positions — apex and the base.
Apex of the wedge usually lies in gingival portion of the contact area.
Base lies in contact with gingiva. This helps in stabilization and retraction of gingiva.
Used in tooth preparations with deep gingival margins.

Ref : Textbook of Operative Dentistry, Nisha and Amit Garg, 3rd edition, Pg no:209"
3265,"The knowledge about the biomechanics of the muscles attached around the shoulder joint, known as 'rotator cuff muscles' has increased exponentially. However, the role of one of the rotator cuff muscles, which is also now known as 'forgotten rotator cuff muscle' has been ignored or less impoance has been attached to its role. Which of the following muscles best describes this description?",Supraspinatus,Infraspinatus,Teres minor,Subscapularis,D,45,Answer- D (Subscapularis)Subscapularis is the major and most powerful muscle of the rotator cuff and has an enormous meaning in the gleno-humeral stability.Lo and Burkha even tagged the subscapularis tendon hypercritically as the 'forgotten tendon'.
3266,Electromyography is used to:,To study muscle activity,Determine class II malocclusion,Determine the centric relation,Determine the centric occlusion,A,45,No explanation given
3267,Which of the following drugs acting on dilator pupillae has an action analogous to that of pilocarpine on sphincter papillae?,Timolol,Epinephrine,Neostigmine,Tropicamide,B,45,"Ans: B. Epinephrine(Ref Goodman Gilman 12/e p326,. Katzung, 13/e p162, 12/e p160,. KDT 7th/e p153. 6th/e p123).Epinephrine acts on dilator pupillae, causing the dilatation of pupil analogous to that of pilocarpine on sphincter papillae.Sympathetic stimulation of adrenergic receptors causes the contraction of the radial muscle and subsequent dilation of the pupil.Parasympathetic stimulation causes contraction of the circular muscle and constriction of the pupil."
3268,A neonate presented with jaundice on first day of life. His mother's blood group is `0' positive. How will you manage this patient?,Observe only as it is mostly physiological jaundice,Exchange transfusion,Liver function tests and liver biopsy as it is mostly due to cholestasis,Phototherapy,D,45,Ans: D. Phototherapy(Ref: Nelson 20/e p873)Jaundice on day 1 of life - Due to some hemolytic disease or congenital infections.Treated using phototherapy.Possibility of Rh incompatibility ruled out as mother blood group is 0+.Ideally basic investigations for hemolytic anemia should be sent simultaneously (not given in the option).Best option would be phototherapy.
3269,After brushing dryness of mouth is caused by,Glycol,sodium Lauryl sulphate,Friction due to brushing,Sweetner,B,45,No explanation given
3270,Rhodopsin deficiency is chiefly associated with:,Vitamin D deficiency,Rickets,Vitamin A deficiency,Scurvy,C,45,No explanation given
3271,The maxillary teeth if placed too far anteriorly and superiorly in a complete denture results in the faulty pronunciation of:,F and V sounds,S and T sounds,Vowels,Consonants,A,45,No explanation given
3272,Fill the missing data in the common risk factor approach diagram.,Diet and smoking,Smoking and disease,Smoking and prevention,Prevention and diet,A,45,No explanation given
3273,The logical explanation for the unique anticariogenic property of most silicate cements is:,The reduction in enamel solubility due to fluoride uptake by enamel,That beryllium flux is used in silicates,That silicates show very little leakage at the margins of the restoration,Due to the high silica content,A,45,"The incidence of secondary caries is markedly less around silicate restorations. This is surprising when considering that severe leakage takes place at its margins. 
Also, the incidence of contact caries is less when compared to amalgam restorations (contact caries is the term applied to caries occurring on the proximal surface of the tooth adjacent to the restoration). 
The anti-cariogenic property is due to presence of 15% fluoride. Fluoride release is slow and occurs throughout the life of the restoration. Silicate cement was classed as a severe irritant to the pulp because of its low pH (acidic). 
For many years, silicate served as a standard for comparing the pulpal response to other materials. In deep cavities, the pulp had to be protected with varnish or calcium hydroxide.

Manapallil 3rd Ed P: 88"
3274,"An unknown drug is being tested in experimental setup. The results obtained are given in the table. From these actions, new drug is likely to be:ParameterPlacebo treatedNew drug treatedHea rate7286Systolic BP110150Diastolic BP8068TremorsAbsentPresent",Beta-I and beta-2 agonist,Alpha-1 antagonist and beta-2 agonist,M2 and M3 agonist,Alpha-1 and beta-1 agonist,A,45,"Ans. A. Beta-1 and beta-2 agonistBeta-1 stimulation increases hea rate and systolic blood pressure. Beta-2 stimulation cause vasodilation and thus decreases diastolic blood pressure and tremors. Hence, the drug appears to be beta-1 and beta-2 agonist."
3275,All are true regarding Pseudotumour cerebri except –,Ventricular system is of normal size or small,CT Scan shows punctate hypodense areas,No focal neurological deficit,Intracranial pressure is raised,B,45,"Pseudotumor cerebri

Pseudotumor cerebri is characterized by increased intracranial pressure in the absence of an identifiable intracranial mass or hydrocephalus.
Cardinal features of pseudotumour cerebri


Headache, Clinically resembling that of brains tumor
Normal cerebrospial fluid
Normal or sin all ventricular size
CT & 111R1 Normal
No focal neurological deficit
Transient visual obscurations and papilledema with enlarged blind spots."
3276,Changes seen in conjunctiva after vitamti. A deficiency:,Actinic degeneration,Hyperplasia of goblet cells,Hyperkeratosis of squamous epithelium,Stromal infiltration,C,45,"Answer- C. Hyperkeratosis of squamous epitheliumChange seen in coniunctiva after vitamin A deficiency is hyperkeratosis of squamous epithelium.'Vitamin A is necessary for normal differentiation of nonsquamous epithelium; keratinization is a direct consequenceof its deficieny.Reduced aqueous tear production, and irregularities of the keratinized surface may all contribute to stromal melting, which can occur in the absence of inflammatory infiltration or bacterial invasion.Squamous metaplasia and keratinization."
3277,Mandibular 1st premolar normally has,1 root,2 roots,May have any,None,A,45,No explanation given
3278,Which one of the following is not a criterion for making a diagnosis of chronic myeloid leukemia in accelerated phase:,Blasts 10-19% of WBC's in peripheral blood,Basophils 10-19% of WBC'S in peripheral blood,Increasing spleen size unresponsive to therapy,Persistent thrombocytosis (>1000 x 109/L) unresponsive to therapy,D,45,"Answer is D (Persistent thrombocytosis > 1000 x 109/L positive to therapy)Accelerated phase is associated with thrombocytopenia (9/L) and not thrombocytosis.Although multivariate analysis derived criteria also place blood or marrow basophils > 20% in disease criteria, other criteria do consider marrow and peripheral basophils > 10% as a criteria and hence option (D) is the single best answer here.Accelerated phase of CML: It is defined by the development of increasing degrees of anemia unaccounted for by bleeding or chemotherapy and is defined by several criteria. Multivariate analysis derived criteria Other commonly used criteriaCytogenetic clonal evolution Blood or marrow blasts between 10 and 20% Increasing drug dosage requirementBlood or marrow basophils > 20% Marrow reticulum or collagen fibrosis Platelet count < 100 x 10deg/L unrelated to therapy Marrow or peripheral blasts > 10%Marrow or peripheral basophils eosinophils - 10% Triad of WBC > 50 x 109/L, haematocrit < 25% and Mai,100 liP/L not controlled ii1111 therapy Unexplained fever or bone pain"
3279,Desensitization was given by:,Bandura.,Joseph wolpe.,Addleston.,Wright.,B,45,No explanation given
3280,Which of the following hea sound may be a normal finding during pregnancy?,Fixed splitting of S2,S3,S4,Pericardial knock,B,45,"Ans. b. S3Ref Ganong's Review of Medical Physiology 2511' edn; Page no. 542Hea SoundsCauseCharactersSite of auscultationPhonocar- diogramECG correlation51-Vibrations set up by suddenclosure of AV valvesat the sta of ventricular systole, during phaseof isovolumetric contraction. Long & soft LUBB Duration -0.15 sFrequency- 25 - 45 HzBest heard over mitral and tricuspid areaSingle group of 9-13 waves - rescendoand diminuendo series of wavesCoincides with peak of R wave52 - Vibrations with closure ofsemilunar valves ust at the onset of ventricular diastole.Heard as a single sound during expiration but during inspiration the increased output of the right hea causes a physiological splitting. Sho,loud High Pitched DUBB Duration0.12 s Frequency 50 HzBest heard over aoic and pulmonary area Single group of 4-6 waves having same amplitudeCoincides with end of T wave CauseCharactersSite of auscultationPhonocar- diogramECG correlation53 -- Vibrations set up in cardiac wallby inrush of blood during rapid fillingphase of ventricular diastole. It may be heard duringlate pregnancy. In children and young adults, is a normalfinding.Sho, soft Low pitched Duration --0.1 sNormally cannot be heard byauscultation with stethoscope 1-- 4 waves grouped togetherAppears between T and P waves54 -- Vibrations set up during atrialsystole Coincides with last rapid filling phaseof ventricular diastole. Examples include concentrichyperophy, aoic stenosis, and myocardial infarction. Sho, low pitched Duration -- 0.03 sFrequency --3 HzNormally cannot be heard by auscultationwith stethoscope1-2 waves with very low amplitudeCoincides with interval betweenend of P wave and onset of Q wave"
3281,All of the following about Vitamin D metabolism are true except,25–α hydroxylation takes place in liver,1–α hydroxylation takes place in kidney,Daily requirement in the absence of sun–light is 450-6001U/day,"Williams syndrome is associated with obesity, mental retardation, precocious puberty",D,45,"In Williams syndrome there is failure to gain weight (not obesity) and delay in development (not-precocious puberty)

Williams syndrome

Williams syndrome is a rare neurodevelopmental disorder characterized by:


Unusual facial features: Elfin facial appearance, widely spaced teeth, a long philthrum along with a low nasal bridge, an unusually cheerful demeanor and ease with strangers.
Heart defects: Supravalvular aortic stenosis.
Development delay: Mental retardation, failure to gain weight (failure to thrive), low muscle tone.
Transient hypercalcemia


Other features include GI problems (Colic, abdominal pain, diverticulitis), nocturnal enuresis, dental irregularities, hypothyroidism, hyperacussis and photophobia.

Vitamin D 

It occurs mainly in two forms


Vit D3 —> Cholecalciferol - synthesized in skin under the influence of UV rays from 7-dehydrocholesterol.
Vit D2 —) Calciferol - present in irradiatiate food-yeast, fungi, bread.


Activation of Vit D takes place in following manner."
3282,"Oral hairy leukoplakia is seen in AIDS patients. The most
likely site of appearance is:",Lateral borders of tongue,Sublingual mucosa,Soft palate,Buccal mucosa,A,45,No explanation given
3283,Most appropriate pontic design is:,It should fill the missing teeth area,Greater lingual embrasure,Should contact mucosa but should not irritate it,None of the above,C,45,No explanation given
3284,Which of the following is not a general compartment of body fluid ?,Peritoneal,Intracellular,Interstitial,Blood plasma,B,45,No explanation given
3285,Which of the following is true about carbamazepine?,Not associated with agranulocytosis,Has been known to cause Steven-Johnson's syndrome,Causes serious nephrogenic toxicity,Drug monitoring is not required,B,45,Answer- B. Has been known to cause Steven-Johnson's syndromeCarbamazepine has been known to cause Steven-Johnson's syndrome.High risk-NevirapineOxicam (NSAlDs)ThiacetazoneAllopurinolCarbamazepineLamotrigine
3286,"Regarding Evidence Based Medicine (EBM), all of the ing arc true, except:",EBM depends on clinical model and decision analysis to base its recommendations,EBM objectively evaluates the quality of clinical research by critical assessing techniques repoed by researchers in publications,"The strongest argument for the therapeutic intervention is systemic review or meta-analysis of triple blinded, randomized, placebo-controlled clinical trials with allocation concealment and complete follow-up involving a homogenous population of patients or medical disorders",The weakest argument is the opinion of expes or medical boards,A,45,"Answer: a. EBM depends on clinical model and decision analysis to base its recommendations It aims to apply the best available evidence gained from the scientific method to medical decision-makingand it seeks to assess the quality for evidence of the risks and benefits of treatments.EBM is the conscientious, explicit and judicious use of current best evidence in making decisions about the care of individual patients"
3287,Pharyngotympanic tube is supplied by all except:,Ascending pharyngeal,Ascending palatine,Middle meningeal artery,Artery of pterygoid canal,B,45,No explanation given
3288,Which one of the following is a connective tissue tumour:,Lipoma,Melanoma,Carcinoma,Papilloma,A,45,No explanation given
3289,"In a patient with thrombocytopenia, what is the target platelet count after transfusion to perform an invasive procedure?","30,000","40,000","50,000","60,000",C,45,"Ans: C. 50,000(Ref Bailey 27/e p22-23, 26/e p23, Nelson 20/e p2374).Target platelet count after transfusion for performing invasive procedure in thrombocytopenic patient = 50, 000.Blood ProductStandard GuidelinesFFPIf prothrombin time (PT) or paial thromboplastin time (PTT) > 1.5 times normal.CryoprecipitateIf fibrinogen < 0.8 g/LPlateletsIf platelet count <50 x 109/mL"
3290,Sjogren's syndrome includes all except:,Xerostomia,Keratoconjunctivitis,Arthritis,Lymphoma,D,45,No explanation given
3291,Which of the following occurs most commonly on tongue?,Lymphangioma and granular cell myoblastoma,Lipoma and fibroma,Neuroblastoma and lipoma,Lymphangioma and fibroma,A,45,No explanation given
3292,Vitamin D deficiency,Does not affect enamel,Does not affect dentin,Does not affect tooth development,All of the above.,B,45,No explanation given
3293,Pulp proper resembles,Loose connective tissue,Fine nerve fibers and blood vessels,Multipotent cells,All of the above,A,45,No explanation given
